FY ,Region,Forest Code,Forest Name,District Code ,District Name,STATE ,COUNTY ,LATITUDE ,LONGITUDE ,Treatment Type,Planned Date,Planned Acres,Accomplished Date,Accomplished Acres,Completed Date,WUI 
2011,01,02,Beaverhead/Deerlodge,01,Dillon R D,Montana,Beaverhead,45.1221,-113.4538,Machine Pile Burn,2010-11-01,14,2010-11-15,14,2010-11-15,N
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.738,-112.794,Broadcast Burn,2011-06-06,136,2011-06-06,136,2011-06-06,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.68,-113.07,Machine Pile Burn,2011-06-07,51,2011-06-07,51,2011-06-07,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.74,-113.02,Machine Pile Burn,2011-05-16,8,2011-05-16,8,2011-05-16,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.66,-113.06,Machine Pile Burn,2011-06-08,24,2011-06-08,24,2011-06-08,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.68,-113.06,Machine Pile Burn,2011-05-26,7,2011-05-26,7,2011-05-26,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.65,-113.07,Machine Pile Burn,2011-05-30,8,2011-06-06,8,2011-06-06,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Beaverhead,45.51,-113.11,Machine Pile Burn,2011-05-30,5,2011-05-31,5,2011-05-31,Y
2011,01,02,Beaverhead/Deerlodge,02,Wise River,Montana,Deer Lodge,45.8889,-113.0434,Machine Pile Burn,2009-10-01,63,2010-11-02,63,2010-11-02,Y
2011,01,02,Beaverhead/Deerlodge,03,Wisdom,Montana,Beaverhead,45.59,-113.38,Jackpot Burn,2011-05-09,515,2011-06-21,515,2011-06-21,Y
2011,01,02,Beaverhead/Deerlodge,03,Wisdom,Montana,Beaverhead,45.546,-113.301,Fire Use,2011-08-24,2000,2011-09-30,2000,2011-09-30,Y
2011,01,02,Beaverhead/Deerlodge,03,Wisdom,Montana,Beaverhead,45.6,-113.35,Machine Pile Burn,2011-05-17,4,2011-05-17,4,2011-05-17,Y
2011,01,02,Beaverhead/Deerlodge,03,Wisdom,Montana,Beaverhead,45.6,-113.34,Machine Pile Burn,2011-04-21,14,2011-04-21,14,2011-04-21,Y
2011,01,02,Beaverhead/Deerlodge,03,Wisdom,Montana,Beaverhead,45.65,-113.78,Machine Pile Burn,2011-06-07,20,2011-06-07,20,2011-06-07,Y
2011,01,02,Beaverhead/Deerlodge,03,Wisdom,Montana,Beaverhead,45.79,-113.61,Machine Pile Burn,2011-05-24,6,2011-05-24,6,2011-05-24,Y
