region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
1,121,2011121001,3/27/2011,15:15,3/27/2011,19:18,3/27/2011,21:20,5/25/2011,10:00,21,7,48.8811583,-95.21449025
2,244,2011244001,4/5/2011,15:06,4/5/2011,15:25,4/5/2011,15:34,4/6/2011,8:00,0.1,2,46.05651895,-92.91099296
2,232,2011232001,4/6/2011,13:51,4/6/2011,14:07,4/6/2011,14:27,4/7/2011,10:40,1,5,46.41106207,-94.32509146
2,261,2011261001,4/6/2011,17:30,4/6/2011,18:00,4/6/2011,18:05,4/6/2011,18:30,0.1,7,48.39771366,-93.56835828
3,351,2011351001,4/7/2011,12:06,4/7/2011,12:29,4/7/2011,12:55,4/7/2011,13:20,0.5,5,45.56714515,-93.42258572
3,341,2011341001,4/7/2011,13:50,4/7/2011,14:02,4/7/2011,14:40,4/7/2011,15:30,0.1,2,43.67955997,-91.54415554
3,351,2011351002,4/7/2011,14:00,4/7/2011,14:31,4/7/2011,14:49,4/7/2011,15:00,0.01,5,45.47319038,-93.30411751
2,221,2011221001,4/7/2011,14:35,4/7/2011,14:45,4/7/2011,14:49,4/7/2011,16:00,0.5,4,47.31253981,-93.5948188
2,244,2011244002,4/7/2011,16:01,4/7/2011,16:35,4/7/2011,16:35,4/8/2011,8:00,0.1,2,45.74246016,-92.83449194
3,341,2011334001,4/7/2011,16:14,4/7/2011,16:20,4/7/2011,17:00,4/8/2011,10:00,1,6,44.8245862,-93.21540587
3,351,2011351003,4/7/2011,16:45,4/7/2011,17:05,4/7/2011,17:45,4/9/2011,12:00,1.6,4,45.53556069,-93.61145594
2,232,2011232002,4/8/2011,11:00,4/8/2011,11:11,4/8/2011,11:18,4/8/2011,11:28,0.3,2,46.30736409,-94.25419841
1,111,2011111001,4/8/2011,13:00,4/8/2011,13:15,4/8/2011,13:50,4/8/2011,23:00,1,5,47.53822475,-95.43398699
3,312,2011312001,4/8/2011,13:36,4/8/2011,13:42,4/8/2011,13:50,4/11/2011,12:00,0.2,5,45.81701853,-94.2800728
2,232,2011232003,4/8/2011,14:45,4/8/2011,14:48,4/8/2011,15:30,5/23/2011,8:00,1,5,46.52050027,-93.70982935
3,312,2011312005,4/8/2011,15:11,4/8/2011,15:23,4/8/2011,15:25,4/8/2011,22:00,0.2,9,45.81584792,-94.61025091
