FIREUNITID,ORGNAME,FIRENAME,FIRETYPE,FIRESUBTYPE,WXSTATIONID,TREATMENTTYPE1,DISCOVERYDATETIME,INITIATIONDATE,STARTDATE,LATITUDE,LONGITUDE,ASPECT,LAYOFLAND,SLOPE,TOTALPRESCRIBEDACRES,TOTALACRES
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 26-A,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,47.677,-96.267,Flat,Flat,0-25,75,75
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,DAHL POOL,Treatment,Fires Ignited on FWS Lands by FWS,,Prescribed Fire,5/17/2011,5/17/2011,5/17/2011,48.317163,-95.867612,Flat,Flat,0-25,1054,1054
MNLFR,LITCHFIELD WETLAND MANAGEMENT DISTRICT,LAKE HARDEN A,Treatment,Fires Ignited on FWS Lands by FWS,214001,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,44.97611111,-94.50444444,Flat,Flat,0-25,262,262
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,MERO SOUTH,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/18/2011,5/18/2011,5/18/2011,45.5218,-95.9787,Flat,Flat,0-25,133,133
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,AVOK SLOUGH,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,45.4829,-95.6022,Flat,Flat,0-25,131,131
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 26-A CATTAIL,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,47.691,-96.258,Flat,Flat,0-25,5,5
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,HORMANN,Treatment,Fires Ignited on FWS Lands by FWS,ABR,Prescribed Fire,5/15/2011,5/15/2011,5/15/2011,45.6822,-96.5791,Flat,Flat,0-25,173,173
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,TILDEN 26 NE,Treatment,Fires Ignited on FWS Lands by FWS,Detroit Lakes,Prescribed Fire,5/26/2011,5/26/2011,5/26/2011,47.702,-96.245,Flat,Flat,0-25,35,35
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,GREINER,Treatment,Fires Ignited on FWS Lands by FWS,mpx,Prescribed Fire,5/19/2011,5/19/2011,5/19/2011,45.4939,-95.6247,Flat,Flat,0-25,117,117
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,KRANTZ LAKE,Treatment,Fires Ignited on FWS Lands by FWS,mxp,Prescribed Fire,5/2/2011,5/2/2011,5/2/2011,45.491,-95.293,Flat,Flat,0-25,201,201
MNBNR,MORRIS WETLAND MANAGEMENT DISTRICT,MATTSON,Treatment,Fires Ignited on FWS Lands by FWS,MSP,Prescribed Fire,5/16/2011,5/16/2011,5/16/2011,45.7362,-95.6821,Flat,Flat,0-25,49,49
