FID,AREA,PERIMETER,FIRE_,FIRE_ID,LAT,LONG,DATE,JULIAN,GMT,BT4TEMP,BT5TEMP,SRC,SAT_SRC,CONF
5116,0,0,5117,135726,48.9824409,-97.0170975,4/23/2015 0:00:00,113,1938,326.6000061,295,rsac,S-NPP,Nominal
5119,0,0,5120,137011,48.9822617,-97.0174026,4/23/2015 0:00:00,113,1938,330.5,294.7000122,rsac,S-NPP,Nominal
5137,0,0,5138,205286,48.9813004,-96.5569992,5/27/2015 0:00:00,147,1900,330.7000122,295.2999878,rsac,S-NPP,Nominal
5162,0,0,5163,135943,48.9795303,-97.0098038,4/23/2015 0:00:00,113,1938,336.5,292.2999878,rsac,S-NPP,Nominal
5166,0,0,5167,135791,48.9793282,-97.0101013,4/23/2015 0:00:00,113,1938,336.2000122,292.2999878,rsac,S-NPP,Nominal
5170,0,0,5171,135835,48.9788208,-97.0161972,4/23/2015 0:00:00,113,1938,354.1000061,297,rsac,S-NPP,Nominal
5173,0,0,5174,136699,48.9786491,-97.0165024,4/23/2015 0:00:00,113,1938,353,297.1000061,rsac,S-NPP,Nominal
5230,0,0,5231,615608,48.97575,-96.9719009,8/19/2015 0:00:00,231,1924,336,284,rsac,S-NPP,Nominal
5234,0,0,5235,206138,48.9756203,-96.5671997,5/27/2015 0:00:00,147,1900,331,296.3999939,rsac,S-NPP,Nominal
5241,0,0,5242,136914,48.9752007,-97.0152969,4/23/2015 0:00:00,113,1938,327,291.5,rsac,S-NPP,Nominal
5252,0,0,5253,145070,48.9744415,-96.8153992,4/26/2015 0:00:00,116,2022,353.5,292.7000122,rsac,S-NPP,Nominal
5339,0,0,5340,153288,48.9688301,-95.9298019,4/29/2015 0:00:00,119,1925,334.2999878,309.2000122,rsac,S-NPP,Nominal
5342,0,0,5343,740722,48.9687805,-95.9411011,10/11/2015 0:00:00,284,1929,356.1000061,291.7999878,rsac,S-NPP,Nominal
5348,0,0,5349,144969,48.9685211,-96.8086014,4/26/2015 0:00:00,116,2022,329.7000122,293.8999939,rsac,S-NPP,Nominal
5350,0,0,5351,144913,48.968441,-96.8152008,4/26/2015 0:00:00,116,2022,367,294.2999878,rsac,S-NPP,Nominal
5370,0,0,5371,741398,48.9677391,-95.9396973,10/11/2015 0:00:00,284,1929,355.1000061,288.5,rsac,S-NPP,Nominal
5375,0,0,5376,537297,48.9674492,-95.3832016,8/2/2015 0:00:00,214,1803,332.7000122,291.7000122,rsac,S-NPP,Nominal
5420,0,0,5421,152005,48.9654388,-95.9288025,4/29/2015 0:00:00,119,1925,332.2000122,305.7000122,rsac,S-NPP,Low
5453,0,0,5454,698939,48.963459,-97.2212982,8/31/2015 0:00:00,243,2039,329.5,292.2000122,rsac,S-NPP,Nominal
5465,0,0,5466,150003,48.9625015,-96.5183029,4/28/2015 0:00:00,118,1944,328.2999878,276.5,rsac,S-NPP,Nominal
5469,0,0,5470,150900,48.962101,-96.479599,4/28/2015 0:00:00,118,1944,330.2000122,281.3999939,rsac,S-NPP,Nominal
5494,0,0,5495,589002,48.9597816,-97.0868988,8/14/2015 0:00:00,226,1918,331.6000061,306.2999878,rsac,S-NPP,Nominal
5499,0,0,5500,721351,48.9593697,-95.9748993,9/13/2015 0:00:00,256,1814,367,301.8999939,rsac,S-NPP,Nominal
5505,0,0,5506,589334,48.9589882,-97.0921021,8/14/2015 0:00:00,226,1918,334.8999939,308.7000122,rsac,S-NPP,Nominal
5512,0,0,5513,150198,48.95858,-96.5175018,4/28/2015 0:00:00,118,1944,341,278,rsac,S-NPP,Nominal
5536,0,0,5537,584569,48.9565201,-97.085701,8/14/2015 0:00:00,226,1918,345.2999878,318,rsac,S-NPP,Nominal
5543,0,0,5544,720240,48.9558296,-95.9667969,9/13/2015 0:00:00,256,1814,340,296.7000122,rsac,S-NPP,Nominal
5547,0,0,5548,586112,48.9557304,-97.0908966,8/14/2015 0:00:00,226,1918,348.6000061,315.2999878,rsac,S-NPP,Nominal
5560,0,0,5561,149855,48.9546509,-96.5167007,4/28/2015 0:00:00,118,1944,356.8999939,278.2000122,rsac,S-NPP,Nominal
5566,0,0,5567,719805,48.9544296,-95.9714966,9/13/2015 0:00:00,256,1814,367,300.3999939,rsac,S-NPP,Nominal
5571,0,0,5572,150647,48.953949,-96.5242004,4/28/2015 0:00:00,118,1944,353.2999878,268.1000061,rsac,S-NPP,Nominal
5575,0,0,5576,595985,48.9536209,-97.1800003,8/16/2015 0:00:00,228,853,313.7999878,288.7999878,rsac,S-NPP,Nominal
5578,0,0,5579,150964,48.9535294,-96.4856033,4/28/2015 0:00:00,118,1944,343.6000061,278,rsac,S-NPP,Nominal
5587,0,0,5588,150451,48.9532394,-96.5317993,4/28/2015 0:00:00,118,1944,348,267.1000061,rsac,S-NPP,Nominal
5591,0,0,5592,151262,48.9528313,-96.493103,4/28/2015 0:00:00,118,1944,334.3999939,276.7999878,rsac,S-NPP,Nominal
5627,0,0,5628,595703,48.9502106,-97.1816025,8/16/2015 0:00:00,228,853,312.7000122,288.5,rsac,S-NPP,Nominal
5632,0,0,5633,162070,48.9500389,-96.9541016,5/5/2015 0:00:00,125,1912,341.1000061,306.2000122,rsac,S-NPP,Nominal
5653,0,0,5654,741720,48.9485397,-95.9789963,10/11/2015 0:00:00,284,1929,343.2000122,287.2999878,rsac,S-NPP,Nominal
5661,0,0,5662,142719,48.9481087,-96.4576035,4/26/2015 0:00:00,116,2022,354.7999878,290.7999878,rsac,S-NPP,Nominal
5662,0,0,5663,143913,48.9480209,-96.4645004,4/26/2015 0:00:00,116,2022,340.8999939,288,rsac,S-NPP,Nominal
5663,0,0,5664,145961,48.9480209,-96.4567032,4/26/2015 0:00:00,116,2022,340.3999939,290.3999939,rsac,S-NPP,Nominal
5664,0,0,5665,146873,48.9479599,-96.4636002,4/26/2015 0:00:00,116,2022,354.3999939,288.8999939,rsac,S-NPP,Nominal
5676,0,0,5677,724278,48.9471512,-95.9517975,9/15/2015 0:00:00,258,1917,349.8999939,294.8999939,rsac,S-NPP,Nominal
5683,0,0,5684,723995,48.9464111,-95.9570999,9/15/2015 0:00:00,258,1917,331.2000122,293.5,rsac,S-NPP,Nominal
5699,0,0,5700,703767,48.9455605,-96.9530029,9/3/2015 0:00:00,246,1942,331.2999878,301.6000061,rsac,S-NPP,Nominal
5717,0,0,5718,741636,48.9442787,-95.9841995,10/11/2015 0:00:00,284,1929,357.2000122,284.6000061,rsac,S-NPP,Nominal
5721,0,0,5722,723481,48.9438591,-95.9506989,9/15/2015 0:00:00,258,1917,346.7000122,298.5,rsac,S-NPP,Nominal
5728,0,0,5729,145905,48.9435692,-95.4320984,4/26/2015 0:00:00,116,1841,329.3999939,287.8999939,rsac,S-NPP,Nominal
5732,0,0,5733,723752,48.9431114,-95.9560013,9/15/2015 0:00:00,258,1917,329.7999878,292.3999939,rsac,S-NPP,Nominal
5739,0,0,5740,724625,48.9423599,-95.9613037,9/15/2015 0:00:00,258,1917,342.1000061,295.5,rsac,S-NPP,Nominal
5744,0,0,5745,145767,48.9419212,-96.4567032,4/26/2015 0:00:00,116,2022,342.7999878,289.1000061,rsac,S-NPP,Nominal
5760,0,0,5761,740980,48.940731,-95.9832993,10/11/2015 0:00:00,284,1929,350.7999878,284.7000122,rsac,S-NPP,Nominal
5765,0,0,5766,724570,48.9405594,-95.9496994,9/15/2015 0:00:00,258,1917,330.7000122,293.2000122,rsac,S-NPP,Nominal
5877,0,0,5878,575192,48.9315796,-97.0481033,8/13/2015 0:00:00,225,1936,349.1000061,307.6000061,rsac,S-NPP,Nominal
5919,0,0,5920,188951,48.9288902,-96.6950989,5/20/2015 0:00:00,140,1751,333.7999878,292.1000061,rsac,S-NPP,Nominal
5927,0,0,5928,189590,48.9284592,-96.6966019,5/20/2015 0:00:00,140,1751,341.7999878,293.2000122,rsac,S-NPP,Nominal
5930,0,0,5931,578853,48.9279518,-97.0472031,8/13/2015 0:00:00,225,1936,334.1000061,307.2000122,rsac,S-NPP,Low
5998,0,0,5999,618064,48.9233093,-95.0591965,8/20/2015 0:00:00,232,1905,332.7999878,296.6000061,rsac,S-NPP,Nominal
6028,0,0,6029,715826,48.9216194,-94.9121017,9/11/2015 0:00:00,254,1852,333,301.8999939,rsac,S-NPP,Nominal
